TID: [-1234] [2023-06-02 00:06:21,774]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 00:16:50,180]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:17:24,255]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:17:58,149]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:18:49,353]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:19:40,390]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:20:11,056]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:21:05,417]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:22:14,435]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:22:54,678]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:23:20,501]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:24:12,779]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:24:59,694]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:25:39,415]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:26:17,713]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:33:28,240]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 00:33:28,243]  INFO {AUDIT_LOG} - 'admin@carbon.super [-1234]' logged in at [2023-06-02 00:33:28,243-0700]
TID: [-1234] [2023-06-02 00:33:53,469]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:34:55,525]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:35:30,888]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:36:13,473]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"ServiceProviderName":"apim_publisher","Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 00:36:13,475]  INFO {AUDIT_LOG} - 'admin@carbon.super [-1234]' logged in at [2023-06-02 00:36:13,475-0700]
TID: [-1234] [2023-06-02 00:36:50,039]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:37:17,810]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:38:06,527]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:38:34,256]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:39:13,317]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:39:46,383]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:40:11,027]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:40:54,727]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:41:30,037]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:42:56,604]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 00:42:56,606]  INFO {AUDIT_LOG} - 'admin@carbon.super [-1234]' logged in at [2023-06-02 00:42:56,606-0700]
TID: [-1234] [2023-06-02 00:45:10,660]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 00:45:35,133]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 04:33:50,841]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"ServiceProviderName":"apim_publisher","Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:33:50,855]  INFO {AUDIT_LOG} - 'admin@carbon.super [-1234]' logged in at [2023-06-02 04:33:50,847-0700]
TID: [-1234] [2023-06-02 04:38:32,096]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 04:39:06,907]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 04:40:49,929]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 04:44:58,796]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-Roles-of-User Target=admin Data={"Filter":"*","Roles":["Internal/everyone","admin","Application/apim_publisher","Internal/integration_dev","Internal/subscriber","Internal/creator","Application/apim_devportal","Application/admin_aa31ee01-3d38-48ed-b044-11c78bfc8bd8_SANDBOX","Internal/publisher","Internal/devops","Application/apim_admin_portal","Internal/analytics","Internal/observer"]} Outcome=Success
TID: [-1234] [2023-06-02 04:45:24,949]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:45:24,949]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:45:24,949]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:45:24,949]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:45:24,964]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:45:24,964]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:45:24,980]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:45:24,980]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:46:04,260]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:46:04,260]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:46:04,260]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:46:04,269]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:46:04,270]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:46:04,275]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:46:04,377]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:46:04,389]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:46:51,785]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 04:48:04,195]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"ServiceProviderName":"apim_publisher","Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:48:04,574]  INFO {AUDIT_LOG} - Initiator : admin | Action : LoginStepSuccess | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "f58b32ff-29e3-4d13-a20d-d9f2cde81532","AuthenticatedUser" : "admin","AuthenticatedUserTenantDomain" : "carbon.super","ServiceProviderName" : "apim_publisher","RequestType" : "oidc","RelyingParty" : "sDkjqOFQo4a1bfhfzMumgDi7hawa","AuthenticatedIdP" : "is","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "null" } | Result : Success 
TID: [-1234] [2023-06-02 04:48:04,633]  WARN {AUDIT_LOG} - Initiator=wso2.system.user Action=Update-Roles-of-User Target=admin Data={"Deleted Roles":["Application/admin_aa31ee01-3d38-48ed-b044-11c78bfc8bd8_SANDBOX","Application/apim_admin_portal","Application/apim_devportal","Application/apim_publisher","Internal/analytics","Internal/creator","Internal/devops","Internal/integration_dev","Internal/observer","Internal/publisher","Internal/subscriber","admin"]} Outcome=Failure Error={"Error Message":"RemoveAdminUser Cannot remove Admin user from Admin role","Error Code":"30008"}
TID: [-1234] [2023-06-02 04:48:04,755]  INFO {AUDIT_LOG} - Initiator : admin | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "f58b32ff-29e3-4d13-a20d-d9f2cde81532","AuthenticatedUser" : "admin","AuthenticatedUserTenantDomain" : "carbon.super","ServiceProviderName" : "apim_publisher","RequestType" : "oidc","RelyingParty" : "sDkjqOFQo4a1bfhfzMumgDi7hawa","AuthenticatedIdPs" : "eyJ0eXAiOiJKV1QiLCAiYWxnIjoiSFMyNTYifQ==.eyJpc3MiOiJ3c28yIiwiZXhwIjoxNjg1NzA2NDg0NjExMzAwMCwiaWF0IjoxNjg1NzA2NDg0NjExLCJpZHBzIjpbeyJpZHAiOiJpcyIsImF1dGhlbnRpY2F0b3IiOiJTQU1MU1NPQXV0aGVudGljYXRvciJ9XX0=.fvIlc7gb+5GHu7Q/Q4ZIl7qiWPc=","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "null" } | Result : Success 
TID: [-1234] [2023-06-02 04:48:07,132]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:50:09,845]  INFO {AUDIT_LOG} - Initiator : admin | Action : Logout | Target : null | Data : { "ContextIdentifier" : "00e32079-72c1-49e8-ae54-7087b3c84418","LoggedOutUser" : "admin","LoggedOutUserTenantDomain" : "carbon.super","ServiceProviderName" : "apim_publisher","RequestType" : "oidc","RelyingParty" : "sDkjqOFQo4a1bfhfzMumgDi7hawa","AuthenticatedIdPs" : "eyJ0eXAiOiJKV1QiLCAiYWxnIjoiSFMyNTYifQ==.eyJpc3MiOiJ3c28yIiwiZXhwIjoxNjg1NzA2NDg0NjExMzAwMCwiaWF0IjoxNjg1NzA2NDg0NjExLCJpZHBzIjpbeyJpZHAiOiJpcyIsImF1dGhlbnRpY2F0b3IiOiJTQU1MU1NPQXV0aGVudGljYXRvciJ9XX0=.fvIlc7gb+5GHu7Q/Q4ZIl7qiWPc=" } | Result : Success 
TID: [-1234] [2023-06-02 04:50:20,778]  INFO {AUDIT_LOG} - Initiator : ZongPOC | Action : LoginStepSuccess | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "f57bcbae-761b-459b-892d-e5c63c9e6711","AuthenticatedUser" : "ZongPOC","AuthenticatedUserTenantDomain" : "carbon.super","ServiceProviderName" : "apim_publisher","RequestType" : "oidc","RelyingParty" : "sDkjqOFQo4a1bfhfzMumgDi7hawa","AuthenticatedIdP" : "is","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "null" } | Result : Success 
TID: [-1234] [2023-06-02 04:50:22,379]  WARN {AUDIT_LOG} - Initiator=wso2.system.user Action=Add-User Target=ZongPOC Data={"ServiceProviderName":"apim_publisher","Claims":{"http://wso2.org/claims/username":"ZongPOC","http://wso2.org/claims/userid":"3ab53187-2dbb-4311-935b-eaa26e44046f"}} Outcome=Success
TID: [-1234] [2023-06-02 04:50:22,383]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-Roles-of-User Target=ZongPOC Data={"ServiceProviderName":"apim_publisher","Filter":"*","Roles":["Internal/everyone"]} Outcome=Success
TID: [-1234] [2023-06-02 04:50:22,396]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:50:22,402]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-Roles-of-User Target=ZongPOC Data={"ServiceProviderName":"apim_publisher","Filter":"*","Roles":["Internal/everyone"]} Outcome=Success
TID: [-1234] [2023-06-02 04:50:22,404]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Update-Roles-of-User Target=ZongPOC Data={"ServiceProviderName":"apim_publisher"} Outcome=Success
TID: [-1234] [2023-06-02 04:50:23,011]  INFO {AUDIT_LOG} - Initiator : ZongPOC | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "f57bcbae-761b-459b-892d-e5c63c9e6711","AuthenticatedUser" : "ZongPOC","AuthenticatedUserTenantDomain" : "carbon.super","ServiceProviderName" : "apim_publisher","RequestType" : "oidc","RelyingParty" : "sDkjqOFQo4a1bfhfzMumgDi7hawa","AuthenticatedIdPs" : "eyJ0eXAiOiJKV1QiLCAiYWxnIjoiSFMyNTYifQ==.eyJpc3MiOiJ3c28yIiwiZXhwIjoxNjg1NzA2NjIwNzc5MzAwMCwiaWF0IjoxNjg1NzA2NjIwNzc5LCJpZHBzIjpbeyJpZHAiOiJpcyIsImF1dGhlbnRpY2F0b3IiOiJTQU1MU1NPQXV0aGVudGljYXRvciJ9XX0=.gIIu7GLe6DIHNtH9Az4WD7XIKfw=","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "null" } | Result : Success 
TID: [-1234] [2023-06-02 04:50:23,029]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-Roles-of-User Target=ZongPOC Data={"ServiceProviderName":"apim_publisher","Filter":"*","Roles":["Internal/everyone"]} Outcome=Success
TID: [-1234] [2023-06-02 04:50:23,348]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:50:26,406]  INFO {AUDIT_LOG} - Initiator : ZongPOC | Action : Logout | Target : null | Data : { "ContextIdentifier" : "f973f456-084b-4279-b039-6ed55e2a67aa","LoggedOutUser" : "ZongPOC","LoggedOutUserTenantDomain" : "carbon.super","ServiceProviderName" : "apim_publisher","RequestType" : "oidc","RelyingParty" : "sDkjqOFQo4a1bfhfzMumgDi7hawa","AuthenticatedIdPs" : "eyJ0eXAiOiJKV1QiLCAiYWxnIjoiSFMyNTYifQ==.eyJpc3MiOiJ3c28yIiwiZXhwIjoxNjg1NzA2NjIwNzc5MzAwMCwiaWF0IjoxNjg1NzA2NjIwNzc5LCJpZHBzIjpbeyJpZHAiOiJpcyIsImF1dGhlbnRpY2F0b3IiOiJTQU1MU1NPQXV0aGVudGljYXRvciJ9XX0=.gIIu7GLe6DIHNtH9Az4WD7XIKfw=" } | Result : Success 
TID: [-1234] [2023-06-02 04:50:27,289]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:50:27,289]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:50:35,646]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"ServiceProviderName":"apim_publisher","Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:50:35,648]  INFO {AUDIT_LOG} - 'admin@carbon.super [-1234]' logged in at [2023-06-02 04:50:35,648-0700]
TID: [-1234] [2023-06-02 04:50:48,711]  INFO {AUDIT_LOG} - Initiator=admin@carbon.super Action=Get-User-List Target=null Data={"Users":["ZongPOC","admin","apim_reserved_user"]} Outcome=Success
TID: [-1234] [2023-06-02 04:50:58,221]  INFO {AUDIT_LOG} - Initiator=admin@carbon.super Action=Update-Roles-of-User Target=ZongPOC Data={"ServiceProviderName":"apim_publisher","New Roles":["admin"]} Outcome=Success
TID: [-1234] [2023-06-02 04:50:58,238]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:50:58,285]  INFO {AUDIT_LOG} - Initiator=admin@carbon.super Action=Get-Roles-of-User Target=ZongPOC Data={"ServiceProviderName":"apim_publisher","Filter":"*","Roles":["Internal/system","Internal/everyone","admin","Application/apim_publisher","Internal/integration_dev","Internal/subscriber","Internal/creator","Application/apim_devportal","Application/admin_aa31ee01-3d38-48ed-b044-11c78bfc8bd8_SANDBOX","Internal/publisher","Application/apim_admin_portal","Internal/devops","Internal/analytics","Internal/observer"]} Outcome=Success
TID: [-1234] [2023-06-02 04:51:10,454]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=ZongPOC Data={"ServiceProviderName":"apim_publisher","Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:51:10,455]  INFO {AUDIT_LOG} - Initiator : ZongPOC | Action : LoginStepSuccess | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "7dc3df1b-1217-4282-ab4e-ebe93c44c0c8","AuthenticatedUser" : "ZongPOC","AuthenticatedUserTenantDomain" : "carbon.super","ServiceProviderName" : "apim_publisher","RequestType" : "oidc","RelyingParty" : "sDkjqOFQo4a1bfhfzMumgDi7hawa","AuthenticatedIdP" : "is","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "null" } | Result : Success 
TID: [-1234] [2023-06-02 04:51:10,459]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Update-Roles-of-User Target=ZongPOC Data={"ServiceProviderName":"apim_publisher","Deleted Roles":["admin"]} Outcome=Success
TID: [-1234] [2023-06-02 04:51:10,472]  INFO {AUDIT_LOG} - Initiator : ZongPOC | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "7dc3df1b-1217-4282-ab4e-ebe93c44c0c8","AuthenticatedUser" : "ZongPOC","AuthenticatedUserTenantDomain" : "carbon.super","ServiceProviderName" : "apim_publisher","RequestType" : "oidc","RelyingParty" : "sDkjqOFQo4a1bfhfzMumgDi7hawa","AuthenticatedIdPs" : "eyJ0eXAiOiJKV1QiLCAiYWxnIjoiSFMyNTYifQ==.eyJpc3MiOiJ3c28yIiwiZXhwIjoxNjg1NzA2NjcwNDU1MzAwMCwiaWF0IjoxNjg1NzA2NjcwNDU1LCJpZHBzIjpbeyJpZHAiOiJpcyIsImF1dGhlbnRpY2F0b3IiOiJTQU1MU1NPQXV0aGVudGljYXRvciJ9XX0=.riEuQzc6JxIr1/JGCCj/zAegbZk=","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "null" } | Result : Success 
TID: [-1234] [2023-06-02 04:51:10,477]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:51:10,485]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-Roles-of-User Target=ZongPOC Data={"ServiceProviderName":"apim_publisher","Filter":"*","Roles":["Internal/everyone"]} Outcome=Success
TID: [-1234] [2023-06-02 04:51:10,726]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:51:13,024]  INFO {AUDIT_LOG} - Initiator : ZongPOC | Action : Logout | Target : null | Data : { "ContextIdentifier" : "5fce009d-507a-42f3-9378-5dc91c937192","LoggedOutUser" : "ZongPOC","LoggedOutUserTenantDomain" : "carbon.super","ServiceProviderName" : "apim_publisher","RequestType" : "oidc","RelyingParty" : "sDkjqOFQo4a1bfhfzMumgDi7hawa","AuthenticatedIdPs" : "eyJ0eXAiOiJKV1QiLCAiYWxnIjoiSFMyNTYifQ==.eyJpc3MiOiJ3c28yIiwiZXhwIjoxNjg1NzA2NjcwNDU1MzAwMCwiaWF0IjoxNjg1NzA2NjcwNDU1LCJpZHBzIjpbeyJpZHAiOiJpcyIsImF1dGhlbnRpY2F0b3IiOiJTQU1MU1NPQXV0aGVudGljYXRvciJ9XX0=.riEuQzc6JxIr1/JGCCj/zAegbZk=" } | Result : Success 
TID: [-1234] [2023-06-02 04:51:29,314]  INFO {AUDIT_LOG} - Initiator : admin@carbon.super | Action : update | Target : is | Data : { Undefined@carbon.super } | Result : Success 
TID: [-1234] [2023-06-02 04:51:38,612]  INFO {AUDIT_LOG} - Initiator=admin@carbon.super Action=Get-User-List Target=null Data={"ServiceProviderName":"apim_publisher","Users":["ZongPOC","admin","apim_reserved_user"]} Outcome=Success
TID: [-1234] [2023-06-02 04:51:44,299]  INFO {AUDIT_LOG} - Initiator=admin@carbon.super Action=Update-Roles-of-User Target=ZongPOC Data={"ServiceProviderName":"apim_publisher","New Roles":["admin"]} Outcome=Success
TID: [-1234] [2023-06-02 04:51:44,383]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=admin Data={"Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2023-06-02 04:51:44,722]  INFO {AUDIT_LOG} - Initiator=admin@carbon.super Action=Get-Roles-of-User Target=ZongPOC Data={"ServiceProviderName":"apim_publisher","Filter":"*","Roles":["Internal/system","Internal/everyone","admin","Application/apim_publisher","Internal/integration_dev","Internal/subscriber","Internal/creator","Application/apim_devportal","Application/admin_aa31ee01-3d38-48ed-b044-11c78bfc8bd8_SANDBOX","Internal/publisher","Application/apim_admin_portal","Internal/devops","Internal/analytics","Internal/observer"]} Outcome=Success
TID: [-1234] [2023-06-02 04:51:54,920]  INFO {AUDIT_LOG} - Initiator=wso2.system.user Action=Get-User-Claim-Values Target=ZongPOC Data={"ServiceProviderName":"apim_publisher","Claims":{},"Profile":"default"} Outcome=Success
