0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:05:57 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:05:58 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:05 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:05 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:09 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:09 -0700] - 400 - - - 0.000
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:09 -0700] GET /carbon HTTP/1.1 302 - - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.050
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/dialog/css/dialog.css HTTP/1.1 200 510 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.036
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/js/jquery-migrate-3.3.2.js HTTP/1.1 200 8236 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.035
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/js/jquery-3.6.0.min.js HTTP/1.1 200 31389 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.053
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/js/jquery.form.js HTTP/1.1 200 13555 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.021
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/styles/css/main.css HTTP/1.1 200 1240 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.081
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/js/jquery.cookie.js HTTP/1.1 200 1407 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.013
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/js/jquery.validate.js HTTP/1.1 200 13864 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.038
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/dialog/js/jqueryui/jquery-ui.min.js HTTP/1.1 200 68849 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.045
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/js/csrfPrevention.js HTTP/1.1 200 4370 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.118
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/js/jquery.ui.core.min.js HTTP/1.1 200 1952 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.004
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/js/jquery.ui.widget.min.js HTTP/1.1 200 2517 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/js/jquery.ui.tabs.min.js HTTP/1.1 200 3787 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.004
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/js/main.js HTTP/1.1 200 15412 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.007
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/js/WSRequest.js HTTP/1.1 200 12981 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.005
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/js/cookies.js HTTP/1.1 200 1136 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/js/customControls.js HTTP/1.1 200 1193 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.002
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/dialog/js/dialog.js HTTP/1.1 200 2644 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.006
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/yui/build/animation/animation-min.js HTTP/1.1 200 4768 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.007
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/yui/build/yahoo-dom-event/yahoo-dom-event.js HTTP/1.1 200 10684 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.016
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/js/template.js HTTP/1.1 200 3501 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.004
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/yui/build/yahoo/yahoo-min.js HTTP/1.1 200 2523 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/yui/build/selector/selector-min.js HTTP/1.1 200 2895 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.006
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] POST /carbon/admin/js/csrfPrevention.js HTTP/1.1 200 52 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.002
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/images/1px.gif HTTP/1.1 200 43 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.012
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/images/user-guide.gif HTTP/1.1 200 2228 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.011
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/images/up-arrow.gif HTTP/1.1 200 615 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.012
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/images/issue-tracker.gif HTTP/1.1 200 1821 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.013
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/images/forum.gif HTTP/1.1 200 1977 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.016
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/images/mailing-list.gif HTTP/1.1 200 2131 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.016
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/styles/images/api-header-back.png HTTP/1.1 200 22845 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.007
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/styles/images/api-header-region-bg.png HTTP/1.1 200 255 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.010
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/images/menu_header.gif HTTP/1.1 404 823 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.011
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/styles/images/api-server-menu-panel-bg.png HTTP/1.1 200 218 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.012
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/styles/images/api-server-menu-header.gif HTTP/1.1 200 176 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.015
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/images/help.gif HTTP/1.1 200 411 https://localhost:9443/carbon/admin/css/global.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.002
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/styles/images/api-logo.png HTTP/1.1 200 4077 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.024
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:14 -0700] GET /carbon/admin/images/favicon.ico HTTP/1.1 200 17542 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.006
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:24 -0700] POST /carbon/admin/login_action.jsp HTTP/1.1 302 - https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 3.083
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:24 -0700] GET /carbon/admin/index.jsp?loginStatus=true HTTP/1.1 200 4980 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.486
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:24 -0700] GET /carbon/admin/js/csrfPrevention.js HTTP/1.1 200 4370 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.008
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/admin/jsp/registry_styles_ajaxprocessor.jsp HTTP/1.1 200 123 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.371
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] POST /carbon/admin/js/csrfPrevention.js HTTP/1.1 200 52 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.002
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/userstore/images/user-store.gif HTTP/1.1 200 617 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.007
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/userstore/images/list.gif HTTP/1.1 200 216 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/userstore/images/add.gif HTTP/1.1 200 407 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.005
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/userstore_config/images/add.gif HTTP/1.1 200 407 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.016
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/userstore_config/images/list.gif HTTP/1.1 200 216 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.020
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/userstore_config/images/multiple-user-stores.png HTTP/1.1 200 783 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.022
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/identity-claim-mgt/images/claims.gif HTTP/1.1 200 1046 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.012
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/identity-claim-mgt/images/list.gif HTTP/1.1 200 216 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.009
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/identity-claim-mgt/images/add.gif HTTP/1.1 200 407 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.011
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/idpmgt/images/trust.png HTTP/1.1 200 775 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.016
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/idpmgt/images/add.gif HTTP/1.1 200 407 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.017
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/application/images/service-provider.png HTTP/1.1 200 670 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.032
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/idpmgt/images/list.gif HTTP/1.1 200 216 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.009
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/application/images/local-sp.png HTTP/1.1 200 576 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.035
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/application/images/add.png HTTP/1.1 200 639 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.037
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/application/images/list.png HTTP/1.1 200 216 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.037
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/template-manager/images/icon.png HTTP/1.1 200 778 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.013
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/idpmgt/images/resident-idp.png HTTP/1.1 200 576 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.002
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/ndatasource/images/data-sources-icon.gif HTTP/1.1 200 1021 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.018
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/email-mgt/images/i18nemail-template.png HTTP/1.1 200 602 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.002
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/email-mgt/images/add_email.gif HTTP/1.1 200 407 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.002
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/roles-mgt/images/server-role.gif HTTP/1.1 200 1073 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.019
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/email-mgt/images/edit_email.gif HTTP/1.1 200 1036 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.007
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/tenant-mgt/images/services.gif HTTP/1.1 200 604 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.051
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/tenant-mgt/images/services1.gif HTTP/1.1 200 608 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.024
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/tenant-mgt/images/multi_tenancy.png HTTP/1.1 200 768 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.037
0:0:0:0:0:0:0:1 - - [02/Jun/2023:00:06:25 -0700] GET /carbon/keystoremgt/images/keystore.gif HTTP/1.1 200 604 https://localhost:9443/carbon/admin/index.jsp?loginStatus=true Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 0.014
